MedianIncome,RegionName,year,state_fip,_last_synced_
39243.0,36110,2022,1,2023-12-02 16:50:45
58218.69,36111,2022,1,2023-12-02 16:50:45
49048.6,36116,2022,1,2023-12-02 16:50:45
71504.66,36117,2022,1,2023-12-02 16:50:45
31528.3,36201,2022,1,2023-12-02 16:50:45
60702.020000000004,36203,2022,1,2023-12-02 16:50:45
53018.22,36206,2022,1,2023-12-02 16:50:45
64204.020000000004,36207,2022,1,2023-12-02 16:50:45
81353.52,36250,2022,1,2023-12-02 16:50:45
45444.630000000005,36251,2022,1,2023-12-02 16:50:45
69758.81,36255,2022,1,2023-12-02 16:50:45
48339.96,36256,2022,1,2023-12-02 16:50:45
44462.01,36258,2022,1,2023-12-02 16:50:45
52044.87,36260,2022,1,2023-12-02 16:50:45
49836.55,36262,2022,1,2023-12-02 16:50:45
49839.64,36264,2022,1,2023-12-02 16:50:45
50723.380000000005,36265,2022,1,2023-12-02 16:50:45
46824.83,36266,2022,1,2023-12-02 16:50:45
58090.97,36268,2022,1,2023-12-02 16:50:45
42784.14,36269,2022,1,2023-12-02 16:50:45
48699.43,36271,2022,1,2023-12-02 16:50:45
47394.42,36272,2022,1,2023-12-02 16:50:45
52094.310000000005,36273,2022,1,2023-12-02 16:50:45
37565.13,36274,2022,1,2023-12-02 16:50:45
42738.82,36276,2022,1,2023-12-02 16:50:45
61049.130000000005,36277,2022,1,2023-12-02 16:50:45
42383.47,36278,2022,1,2023-12-02 16:50:45
60395.08,36279,2022,1,2023-12-02 16:50:45
69999.83,36280,2022,1,2023-12-02 16:50:45
44345.62,36301,2022,1,2023-12-02 16:50:45
49585.23,36303,2022,1,2023-12-02 16:50:45
77625.95,36305,2022,1,2023-12-02 16:50:45
39832.16,36310,2022,1,2023-12-02 16:50:45
43882.12,36311,2022,1,2023-12-02 16:50:45
48108.21,36312,2022,1,2023-12-02 16:50:45
68657.74,36316,2022,1,2023-12-02 16:50:45
55684.89,36318,2022,1,2023-12-02 16:50:45
57640.86,36319,2022,1,2023-12-02 16:50:45
39327.46,36320,2022,1,2023-12-02 16:50:45
53259.24,36321,2022,1,2023-12-02 16:50:45
45151.08,36322,2022,1,2023-12-02 16:50:45
44227.17,36323,2022,1,2023-12-02 16:50:45
67788.42,36330,2022,1,2023-12-02 16:50:45
39368.66,36340,2022,1,2023-12-02 16:50:45
42358.75,36343,2022,1,2023-12-02 16:50:45
49324.64,36344,2022,1,2023-12-02 16:50:45
66756.36,36345,2022,1,2023-12-02 16:50:45
54075.0,36346,2022,1,2023-12-02 16:50:45
47403.69,36350,2022,1,2023-12-02 16:50:45
62122.39,36351,2022,1,2023-12-02 16:50:45
66704.86,36352,2022,1,2023-12-02 16:50:45
45675.35,36353,2022,1,2023-12-02 16:50:45
46762.0,36360,2022,1,2023-12-02 16:50:45
39140.0,36370,2022,1,2023-12-02 16:50:45
46414.89,36373,2022,1,2023-12-02 16:50:45
72743.75,36374,2022,1,2023-12-02 16:50:45
46633.25,36375,2022,1,2023-12-02 16:50:45
44720.54,36376,2022,1,2023-12-02 16:50:45
37647.53,36401,2022,1,2023-12-02 16:50:45
46163.57,36420,2022,1,2023-12-02 16:50:45
55584.98,36421,2022,1,2023-12-02 16:50:45
45260.26,36426,2022,1,2023-12-02 16:50:45
41380.25,36432,2022,1,2023-12-02 16:50:45
35583.41,36441,2022,1,2023-12-02 16:50:45
42970.57,36442,2022,1,2023-12-02 16:50:45
46218.16,36451,2022,1,2023-12-02 16:50:45
43887.270000000004,36453,2022,1,2023-12-02 16:50:45
57079.51,36456,2022,1,2023-12-02 16:50:45
30310.84,36460,2022,1,2023-12-02 16:50:45
41956.020000000004,36467,2022,1,2023-12-02 16:50:45
44982.16,36474,2022,1,2023-12-02 16:50:45
36678.3,36475,2022,1,2023-12-02 16:50:45
43545.31,36477,2022,1,2023-12-02 16:50:45
-686666665.98,36482,2022,1,2023-12-02 16:50:45
36261.15,36502,2022,1,2023-12-02 16:50:45
63409.89,36505,2022,1,2023-12-02 16:50:45
46265.54,36507,2022,1,2023-12-02 16:50:45
34168.19,36509,2022,1,2023-12-02 16:50:45
60637.130000000005,36521,2022,1,2023-12-02 16:50:45
49873.630000000005,36522,2022,1,2023-12-02 16:50:45
54611.630000000005,36523,2022,1,2023-12-02 16:50:45
52286.92,36524,2022,1,2023-12-02 16:50:45
57191.78,36525,2022,1,2023-12-02 16:50:45
79114.3,36526,2022,1,2023-12-02 16:50:45
106998.46,36527,2022,1,2023-12-02 16:50:45
64436.8,36528,2022,1,2023-12-02 16:50:45
52432.15,36530,2022,1,2023-12-02 16:50:45
81432.83,36532,2022,1,2023-12-02 16:50:45
58118.78,36535,2022,1,2023-12-02 16:50:45
68845.2,36541,2022,1,2023-12-02 16:50:45
54926.810000000005,36542,2022,1,2023-12-02 16:50:45
48232.840000000004,36544,2022,1,2023-12-02 16:50:45
49436.91,36545,2022,1,2023-12-02 16:50:45
57385.42,36549,2022,1,2023-12-02 16:50:45
61176.85,36551,2022,1,2023-12-02 16:50:45
53451.85,36558,2022,1,2023-12-02 16:50:45
39111.16,36560,2022,1,2023-12-02 16:50:45
88264.82,36561,2022,1,2023-12-02 16:50:45
35118.88,36562,2022,1,2023-12-02 16:50:45
58933.51,36567,2022,1,2023-12-02 16:50:45
62827.94,36571,2022,1,2023-12-02 16:50:45
90888.23,36572,2022,1,2023-12-02 16:50:45
65436.93,36575,2022,1,2023-12-02 16:50:45
61864.89,36576,2022,1,2023-12-02 16:50:45
87901.23,36578,2022,1,2023-12-02 16:50:45
60964.67,36579,2022,1,2023-12-02 16:50:45
48250.35,36580,2022,1,2023-12-02 16:50:45
58357.74,36582,2022,1,2023-12-02 16:50:45
56866.3,36587,2022,1,2023-12-02 16:50:45
24462.5,36602,2022,1,2023-12-02 16:50:45
25496.62,36603,2022,1,2023-12-02 16:50:45
51424.810000000005,36604,2022,1,2023-12-02 16:50:45
39658.090000000004,36605,2022,1,2023-12-02 16:50:45
46001.86,36606,2022,1,2023-12-02 16:50:45
39675.6,36607,2022,1,2023-12-02 16:50:45
54813.51,36608,2022,1,2023-12-02 16:50:45
43106.53,36609,2022,1,2023-12-02 16:50:45
26579.15,36610,2022,1,2023-12-02 16:50:45
37281.88,36611,2022,1,2023-12-02 16:50:45
31299.64,36612,2022,1,2023-12-02 16:50:45
44431.11,36613,2022,1,2023-12-02 16:50:45
39209.01,36617,2022,1,2023-12-02 16:50:45
48204.0,36618,2022,1,2023-12-02 16:50:45
51650.380000000005,36619,2022,1,2023-12-02 16:50:45
66557.57,36693,2022,1,2023-12-02 16:50:45
74236.22,36695,2022,1,2023-12-02 16:50:45
41432.78,36701,2022,1,2023-12-02 16:50:45
29368.39,36703,2022,1,2023-12-02 16:50:45
39847.61,36726,2022,1,2023-12-02 16:50:45
42851.090000000004,36732,2022,1,2023-12-02 16:50:45
-686666665.98,36740,2022,1,2023-12-02 16:50:45
33114.5,36742,2022,1,2023-12-02 16:50:45
30772.280000000002,36744,2022,1,2023-12-02 16:50:45
43744.1,36748,2022,1,2023-12-02 16:50:45
57400.87,36750,2022,1,2023-12-02 16:50:45
45835.0,36751,2022,1,2023-12-02 16:50:45
33290.63,36752,2022,1,2023-12-02 16:50:45
30429.29,36756,2022,1,2023-12-02 16:50:45
68623.75,36758,2022,1,2023-12-02 16:50:45
32044.33,36759,2022,1,2023-12-02 16:50:45
25392.59,36761,2022,1,2023-12-02 16:50:45
25068.14,36765,2022,1,2023-12-02 16:50:45
29047.030000000002,36767,2022,1,2023-12-02 16:50:45
56664.42,36775,2022,1,2023-12-02 16:50:45
46028.64,36784,2022,1,2023-12-02 16:50:45
38410.76,36785,2022,1,2023-12-02 16:50:45
74944.86,36792,2022,1,2023-12-02 16:50:45
79574.71,36793,2022,1,2023-12-02 16:50:45
51730.72,36801,2022,1,2023-12-02 16:50:45
53249.97,36804,2022,1,2023-12-02 16:50:45
64902.36,36830,2022,1,2023-12-02 16:50:45
33596.54,36832,2022,1,2023-12-02 16:50:45
39438.700000000004,36850,2022,1,2023-12-02 16:50:45
62443.75,36852,2022,1,2023-12-02 16:50:45
58428.810000000005,36853,2022,1,2023-12-02 16:50:45
55133.840000000004,36854,2022,1,2023-12-02 16:50:45
55045.26,36855,2022,1,2023-12-02 16:50:45
63372.810000000005,36856,2022,1,2023-12-02 16:50:45
43167.3,36860,2022,1,2023-12-02 16:50:45
61800.0,36861,2022,1,2023-12-02 16:50:45
40249.31,36862,2022,1,2023-12-02 16:50:45
45879.29,36863,2022,1,2023-12-02 16:50:45
53686.69,36866,2022,1,2023-12-02 16:50:45
44201.42,36867,2022,1,2023-12-02 16:50:45
43264.12,36869,2022,1,2023-12-02 16:50:45
68064.46,36870,2022,1,2023-12-02 16:50:45
36135.49,36871,2022,1,2023-12-02 16:50:45
61784.55,36874,2022,1,2023-12-02 16:50:45
58249.590000000004,36875,2022,1,2023-12-02 16:50:45
57800.51,36877,2022,1,2023-12-02 16:50:45
122496.87000000001,36879,2022,1,2023-12-02 16:50:45
39034.94,36904,2022,1,2023-12-02 16:50:45
