Population,MedianIncome,RegionName,year,state_fip,_last_synced_
1950,41549,36069,2021,1,2023-12-02 16:47:54
1770,41875,36075,2021,1,2023-12-02 16:47:54
13346,58470,36078,2021,1,2023-12-02 16:47:54
9397,51472,36079,2021,1,2023-12-02 16:47:54
2413,73517,36080,2021,1,2023-12-02 16:47:54
15653,33829,36081,2021,1,2023-12-02 16:47:54
9145,38653,36083,2021,1,2023-12-02 16:47:54
3561,36164,36088,2021,1,2023-12-02 16:47:54
7743,22917,36089,2021,1,2023-12-02 16:47:54
3670,42708,36091,2021,1,2023-12-02 16:47:54
20457,66484,36092,2021,1,2023-12-02 16:47:54
12291,106367,36093,2021,1,2023-12-02 16:47:54
9291,32863,36104,2021,1,2023-12-02 16:47:54
10559,36788,36105,2021,1,2023-12-02 16:47:54
15276,62482,36106,2021,1,2023-12-02 16:47:54
7965,29156,36107,2021,1,2023-12-02 16:47:54
15588,25028,36108,2021,1,2023-12-02 16:47:54
24344,54884,36109,2021,1,2023-12-02 16:47:54
11932,38100,36110,2021,1,2023-12-02 16:47:54
13058,56523,36111,2021,1,2023-12-02 16:47:54
44722,47620,36116,2021,1,2023-12-02 16:47:54
52622,69422,36117,2021,1,2023-12-02 16:47:54
17748,30610,36201,2021,1,2023-12-02 16:47:54
18895,58934,36203,2021,1,2023-12-02 16:47:54
11019,51474,36206,2021,1,2023-12-02 16:47:54
18940,62334,36207,2021,1,2023-12-02 16:47:54
4650,78984,36250,2021,1,2023-12-02 16:47:54
5413,44121,36251,2021,1,2023-12-02 16:47:54
1016,67727,36255,2021,1,2023-12-02 16:47:54
1478,46932,36256,2021,1,2023-12-02 16:47:54
1303,43167,36258,2021,1,2023-12-02 16:47:54
4386,50529,36260,2021,1,2023-12-02 16:47:54
1647,48385,36262,2021,1,2023-12-02 16:47:54
8731,48388,36264,2021,1,2023-12-02 16:47:54
21422,49246,36265,2021,1,2023-12-02 16:47:54
6159,45461,36266,2021,1,2023-12-02 16:47:54
5944,56399,36268,2021,1,2023-12-02 16:47:54
1492,41538,36269,2021,1,2023-12-02 16:47:54
6056,47281,36271,2021,1,2023-12-02 16:47:54
13091,46014,36272,2021,1,2023-12-02 16:47:54
2851,50577,36273,2021,1,2023-12-02 16:47:54
10187,36471,36274,2021,1,2023-12-02 16:47:54
2817,41494,36276,2021,1,2023-12-02 16:47:54
